citing_docdb_family_id,cited_docdb_family_id
32519827,27659983
32708399,27659983
32865083,27659983
33435055,27659983
34177692,27659983
34737118,27659983
34941101,27659983
34959687,27659983
35079222,27659983
35721676,27659983
36407933,27659983
37441907,27659983
37482521,27659983
37693506,27659983
37873336,27659983
38015725,27659983
38051815,27659983
38197650,27659983
38515805,27659983
38517024,27659983
38517025,27659983
38519700,27659983
38522930,27659983
38608871,27659983
38625329,27659983
38666822,27659983
38778155,27659983
38935921,27659983
39027518,27659983
39530965,27659983
39682249,27659983
39865724,27659983
40032634,27659983
40469814,27659983
40518527,27659983
40679038,27659983
40689521,27659983
40847170,27659983
40954403,27659983
41010297,27659983
41012222,27659983
41066699,27659983
41112648,27659983
41314521,27659983
41818344,27659983
41819496,27659983
42056602,27659983
42106341,27659983
42269147,27659983
42633548,27659983
44224261,27659983
32321662,27675811
34959688,27675811
39777423,27675811
41567276,27675811
37622008,27741484
37885832,27741484
38051815,27741484
38895466,27741484
40130335,27741484
40639967,27741484
41009191,27741484
41010297,27741484
41664598,27741484
42196455,27741484
42224566,27741484
38261594,27805233
39107009,27805233
39685195,27805233
40135722,27805233
40666742,27805233
42665802,27805233
42980418,27805233
42980419,27805233
42981100,27805233
43779451,27805233
41227060,28050789
42613887,28050789
44257962,28050789
34958415,28050790
34962866,28050790
39509845,28050790
42613887,28050790
43302976,28050790
34962866,28050863
32771011,28798968
34941028,28798968
37027500,28798968
37865899,28798968
38198827,28798968
38884885,28798968
38998346,28798968
39311312,28798968
39591794,28798968
39865724,28798968
40504459,28798968
40591965,28798968
41064642,28798968
41066699,28798968
41161329,28798968
41319049,28798968
42124667,28798968
42231270,28798968
42313308,28798968
42338730,28798968
44142077,28798968
37622008,28799100
32864376,28799101
7632792,29264853
34926988,29264853
34958415,29264853
34966859,29264853
36096722,29264853
38198255,29264853
40042769,29264853
42222974,29264853
42341746,29264853
44065883,29265837
44142084,29265837
44366931,29265837
44798101,29267358
34676769,29271595
34967793,29271595
35513109,29271595
38967797,29413788
42979413,29415152
34967793,29549829
38006097,29549829
39930325,29549829
27532070,29583721
29731844,29583721
32303311,29583721
35799306,29583721
38470837,29583721
38981831,29583721
40913342,29583721
41009143,29583721
41009191,29583721
41066666,29583721
42196452,29583721
42222086,29583721
42266386,29583721
42336320,29583721
42934525,29583721
42981099,29583721
37187106,29710348
40621357,29710348
42196455,29710348
42231278,29710348
42980418,29710348
42980419,29710348
42981100,29710348
43588695,29710348
43588696,29710348
23266785,29715422
32865083,29715422
33435955,29715422
34276543,29715422
34635435,29715422
34681755,29715422
34737118,29715422
35998481,29715422
37441907,29715422
39577397,29715422
41467148,29715422
41818344,29715422
41412291,29719109
40913342,29720179
27532070,29731844
29583721,29731844
33186211,29731844
34941028,29731844
35513109,29731844
41009191,29731844
42196452,29731844
42222966,29731844
42231273,29731844
42231274,29731844
42231275,29731844
42266386,29731844
44143131,29731844
35134119,29796368
43734564,29796368
34399758,30010680
34958415,30010680
34962866,30010680
38162135,30010680
38565885,30010680
38724397,30010680
43495159,30010680
33550481,31185862
39926152,31185862
38470837,31187021
40278978,31187021
41416439,31984389
39560848,31991262
34315649,31993101
34908870,31993101
35455150,31993101
36928409,31993101
37402106,31993101
38198827,31993101
39276257,31993101
39311312,31993101
39808738,31993101
40260119,31993101
40602351,31993101
41319049,31993101
42026320,31993101
42087881,31993101
42119742,31993101
42197712,31993101
42222090,31993101
42244700,31993101
42313308,31993101
42338730,31993101
43853267,31993101
44142077,31993101
44143815,31993101
7682248,32042844
26009137,32042844
32910021,32042844
33426916,32042844
34941101,32042844
34970368,32042844
37669295,32042844
38001770,32042844
38118934,32042844
39679299,32042844
39823810,32042844
40454662,32042844
40456174,32042844
40591544,32042844
42224597,32042844
44142077,32042844
38219481,32092555
39591794,32092555
42222101,32092555
37649471,32303311
42230231,32303311
44143128,32303311
37482521,32319513
38814486,32319513
35482128,32321662
38515805,32321662
40352709,32321662
41152939,32321662
41722748,32321662
42741564,32321662
43222813,32321662
43305784,32321662
44366930,32321662
35355814,32519827
37663118,32519827
42222080,32519827
42222081,32519827
42222082,32519827
27532070,32587986
29583721,32587986
29731844,32587986
34192527,32587986
39146855,32587986
40316337,32587986
40902782,32587986
41009191,32587986
41572690,32587986
42266386,32587986
42934525,32587986
44142077,32587986
35840322,32668617
38967797,32668617
40526746,32668617
41203501,32668617
41509748,32668617
34530405,32694867
39767154,32694867
40560639,32694867
41572383,32694867
42124481,32694867
35721676,32708399
37873336,32708399
38335742,32708399
39262797,32708399
39855033,32708399
39926154,32708399
7682248,32735561
26009137,32735561
34177692,32735561
34276543,32735561
34679397,32735561
34681755,32735561
36407933,32735561
37441907,32735561
37683696,32735561
38015725,32735561
38134496,32735561
38309665,32735561
38515503,32735561
38517025,32735561
38895466,32735561
38935921,32735561
39027518,32735561
39968842,32735561
40518527,32735561
40666742,32735561
41258359,32735561
41799468,32735561
42222092,32735561
42320324,32735561
42633548,32735561
43586700,32735561
43608629,32735561
43836825,32735561
19189473,32771011
34315649,32771011
34429593,32771011
34908870,32771011
35809647,32771011
36758626,32771011
37311884,32771011
38283286,32771011
38460983,32771011
38596273,32771011
38895466,32771011
39081588,32771011
39865724,32771011
40186081,32771011
40387779,32771011
40850776,32771011
41064642,32771011
42124667,32771011
42222970,32771011
43876520,32771011
44142068,32771011
44142077,32771011
34139873,32771043
34908870,32771043
34966536,32771043
35432892,32771043
36758626,32771043
37304041,32771043
38001770,32771043
38118934,32771043
38895466,32771043
39719277,32771043
39808736,32771043
40567848,32771043
33304930,32829013
34969837,32829013
36916479,32829013
36928409,32829013
37491216,32829013
38069075,32829013
38778155,32829013
38875816,32829013
38935921,32829013
38998346,32829013
39311311,32829013
39863777,32829013
40795198,32829013
41161329,32829013
42056602,32829013
42128630,32829013
42222960,32829013
43605994,32829013
43607257,32829013
32708399,32865083
34679397,32865083
37683696,32865083
38309665,32865083
38859576,32865083
38875816,32865083
40666742,32865083
35079222,32910021
35134119,32910021
35708589,32910021
35746213,32910021
35799306,32910021
36998545,32910021
37304041,32910021
38596273,32910021
38608871,32910021
38654935,32910021
38694113,32910021
39492648,32910021
39808736,32910021
39865724,32910021
40044086,32910021
40076132,32910021
40260119,32910021
40379631,32910021
40456174,32910021
40637575,32910021
40786860,32910021
41066666,32910021
41090374,32910021
41129212,32910021
41161329,32910021
41460120,32910021
42224597,32910021
42231270,32910021
42562976,32910021
42674929,32910021
43304664,32910021
44858388,32910021
38069075,32922153
39926154,32922153
40265972,32922153
40472130,32922153
40691046,32922153
41010469,32922153
41259787,32922153
34969837,32962699
40316337,32962699
41011978,32962699
42056602,32962699
36869906,33039099
39645840,33039099
35502293,33039175
36869917,33039175
38459383,33039175
44196243,33039175
32519827,33130859
34778141,33130859
34908870,33130859
35455150,33130859
35721676,33130859
36998545,33130859
37074201,33130859
37304041,33130859
38261594,33130859
38519700,33130859
38998346,33130859
39428000,33130859
39462164,33130859
39808736,33130859
40042779,33130859
40074870,33130859
40278632,33130859
41009191,33130859
41066666,33130859
41319049,33130859
42059741,33130859
42222966,33130859
42231271,33130859
42231273,33130859
42231274,33130859
42231275,33130859
42289039,33130859
42562035,33130859
44142077,33130859
44143815,33130859
41009191,33186211
34676769,33300065
34966859,33300065
36998545,33300065
42560068,33300065
42980418,33300065
42980419,33300065
42981100,33300065
43220439,33300065
39708012,33304930
38724397,33394310
39509845,33394310
39926154,33394310
40298698,33394310
40607009,33394310
41227060,33394310
41800810,33394310
23266785,33417860
34521913,33417860
38543649,33417860
38761231,33417860
38814486,33417860
39304522,33417860
39494479,33417860
39767154,33417860
39926153,33417860
40175880,33417860
40352370,33417860
42223547,33417860
42223598,33417860
42223651,33417860
42231272,33417860
42811314,33417860
42992829,33417860
43836825,33417860
44142074,33417860
32910021,33426916
35520062,33426916
35929971,33426916
39020544,33426916
39823810,33426916
40032812,33426916
40454662,33426916
40591544,33426916
40792049,33426916
40801603,33426916
41066666,33426916
42060164,33426916
42167470,33426916
42224597,33426916
43124655,33426916
34276543,33435055
34681755,33435055
35721676,33435055
37683696,33435055
38517025,33435055
38935921,33435055
39027518,33435055
39855033,33435055
40518527,33435055
40954403,33435055
42222089,33435055
42222093,33435055
43530378,33435055
43586700,33435055
44142076,33435055
44224261,33435055
35840322,33435955
36869906,33435955
38566895,33435955
38740123,33435955
39142757,33435955
40175879,33435955
42056602,33435955
42633442,33435955
43759729,33435955
35727139,33441310
35841849,33441310
36928256,33441310
36940041,33441310
37114539,33441310
38669878,33441310
