docdb_family_id,doc_std_name_id_replenished
43385733,13046620
37074201,13046621
44143131,13046621
37734774,14858269
35853942,14862539
44647405,14884906
41800810,14902794
41800810,14902817
39311311,14958476
36928409,16259083
34981372,16259083
41378886,16147366
39926152,16300345
39808736,16300345
42316511,16409364
33514968,16423884
44366926,17880278
41716942,17919576
34353430,17936389
38517024,18011047
40417886,18029366
42244507,18035119
43607257,1193747
42282582,1278822
44142075,1373131
38813859,1389387
43992133,2638452
43778525,2638452
39092242,2773285
39645840,4383127
42730072,5916902
39359107,7124125
40417886,7247983
20417849,99195179
42039710,8909095
33514968,8917328
42225458,8937305
42073164,8937305
39428000,10165714
39591988,10165714
36869901,10165714
43797857,10228148
43880324,10228149
41279553,10274132
29595354,10300484
44143117,11794962
41799468,11810956
44353095,11857959
42223651,11882356
40639923,11906629
42224597,11906629
41353951,11906629
42184110,11906629
43446815,11906629
42119742,11906629
33427410,13379286
41797542,13422195
9953844,13551850
42222959,13581613
43756766,13584345
38667500,16884741
40567848,17568392
42223651,17607859
42222974,17652157
38170014,17663386
39311311,17663386
40467344,17663386
7710172,17663386
39986215,17663386
38566895,17663386
40605235,17663386
38761231,19227685
42980419,989264
42981100,989264
42670647,2989484
43243047,2989484
32092827,99736707
40535004,5812879
42040440,5822591
42663870,8579896
42993679,8579896
43843077,8579896
42223602,11127033
42222092,11131991
43217949,11136945
34676769,5113955
34753150,98989979
42941953,11159900
40074827,12290678
41416439,12290678
41412291,12290678
41412306,12290678
42263363,12290678
42263364,12290678
41412308,12290678
42935828,12290678
44366931,12290678
44355105,12290678
43355993,12290678
44318287,12290678
40900786,12293535
37668336,12326390
41057625,12330577
27805233,12334868
38995149,12414348
43758659,12441396
43222813,12441396
39401353,14130640
43416524,14139271
41199707,15792374
39708012,15806328
41664598,15840175
38813859,17172723
18913892,17215226
43969832,17296162
41566520,17305704
40795198,18675661
43297394,18675661
40795199,18675661
42633548,18675661
41668785,18675661
41406959,18740242
42225458,18775318
34139873,18775318
37481438,18822450
37481288,18822803
39575569,18822450
40810593,18822450
34650813,18822450
33550055,18822450
42286472,18822450
34937742,18822450
40032634,18894430
34103166,1479677
34192527,1479677
39865724,1486114
8159753,1615443
41460120,4901259
41401822,4901259
39591988,4901259
43627775,4916476
44366931,4923063
41610985,5025865
32962699,5048082
40786169,6503110
40032812,6667850
42309639,6667857
42224503,8002130
38515805,8138284
40175879,8138284
38740123,8138284
40352713,8138284
42174587,8138284
38740163,8138284
40175880,8138284
39739517,8138284
38752541,8138284
41652204,9553513
40902782,9563910
43927675,9634259
42222078,11248781
21907529,3335655
27093569,6738304
37873336,11304696
34063455,11304696
39681656,11335718
43927675,11369113
41381988,11369113
43535857,11404160
43534248,11404160
42222085,11421931
43605994,4925574
42056602,4925574
39263105,12567335
40943858,14307421
36933610,16066875
38846951,15887210
39020544,15887210
39492648,15887210
43382370,15896841
42663870,15896841
44066979,15896841
42779530,15896841
43032611,15896841
43304664,15896841
42562976,15896841
43028578,15896841
43734403,15896841
41566767,15937189
39282460,15975788
8097738,16042952
43386853,16047156
41008932,17412652
41718846,632301
40900786,632301
41064784,2143058
40090342,2143055
42222093,2145339
34521913,2145340
40456345,2145339
41010423,2145339
41559702,2145339
40472130,2145340
40535004,2145340
36118067,2145340
38286555,2145340
36764595,2145340
36118097,2145340
40792049,2220351
43607257,2230559
27675811,2239467
