docdb_family_id,ipc_class
34355502,F03D11/04
34355502,F03D7/02
34355502,F03D7/04
34385055,F03D7/02
34399758,F03D7/02
34399758,F15B11/024
34429593,F03D7/00
34429593,F03D7/02
34429593,G05B23/02
34486439,F03D1/04
34486439,F03D11/04
34486439,F03D7/02
34521913,F03D7/02
34530352,F03D7/04
34530352,F03D9/00
34530352,H02J3/00
34530352,H02J3/18
34530352,H02J3/38
34530405,F03D11/02
34530405,F03D7/00
34530405,F03D7/02
34530405,F03D7/04
34530405,F16H47/08
34530405,F16H61/50
34530405,F16H61/56
34530405,G05D16/02
34558188,F03B15/00
34558188,F03D7/02
34558188,F03D9/00
34558188,H02J3/40
34558188,H02K16/00
34558188,H02K17/18
34558188,H02K17/42
34558188,H02K7/18
34558188,H02P9/00
34558188,H02P9/14
34558188,H02P9/30
34559138,F03D7/04
34559138,F03D9/00
34559138,H02J3/40
34609975,F03D7/00
34609975,F03D7/02
34609975,F03D7/04
34635435,F03D11/04
34635435,F03D7/02
34635435,F03D9/00
34635435,H02J3/38
34635435,H02J9/00
34650813,F03D1/06
34650813,F03D7/02
34650813,F03D7/04
34672716,B62M1/00
34672716,F03D7/02
34672716,F15B7/00
34676769,F03B15/06
34676769,F03D1/00
34676769,F03D7/02
34676769,F03D9/00
34676769,H02K7/18
34679397,F03D7/02
34679397,F03D7/04
34679397,F03D9/00
34679397,G05D19/02
34679397,H02H7/06
34679397,H02P11/00
34679397,H02P5/747
34679397,H02P9/00
34679397,H02P9/02
34679397,H02P9/04
34681755,F03D7/02
34681755,F03D7/04
34681755,F03D9/00
34681755,H02H7/06
34681755,H02P11/00
34681755,H02P9/00
34681755,H02P9/02
34681755,H02P9/04
34737118,F02C6/00
34737118,F03D7/00
34737118,F03D7/02
34737118,F03D9/00
34737118,G05F5/00
34737118,H02P9/00
34737118,H02P9/04
34737118,H02P9/08
34737118,H02P9/14
34737118,H02P9/44
34737118,H03B5/00
34746184,F03D7/02
34753150,F03D7/06
34778141,F03D11/00
34778141,F03D7/04
34854339,F03D1/06
34854339,F03D11/00
34854339,F03D7/00
34854339,F03D7/02
34859221,F03D11/00
34859221,F03D7/02
34859221,F03D7/04
34859221,F04D27/02
34908870,F03D7/04
34908870,F03D9/00
34908870,H02P9/04
34909985,B63H1/06
34909985,F01D7/02
34909985,F03D1/06
34909985,F03D11/04
34909985,F03D5/00
34909985,F03D7/04
34909985,F03D9/00
34909985,F04D7/04
34912417,F01D1/12
34912417,F02B33/44
34912417,F03D7/02
34912417,F04B17/00
34926988,B64C27/54
34926988,F03D7/00
34926988,F03D7/02
34934229,F03D1/06
34934229,F03D11/04
34934229,F03D7/02
34935212,F03D9/00
34935212,H02P9/04
34936138,F03B11/00
34936138,F03D1/00
34936138,F03D1/06
34936138,F03D7/00
34936138,F03D7/02
34937742,F03D1/00
34937742,F03D7/02
34937742,F03D7/04
34941028,B63H1/00
34941028,F03D7/04
34941101,B63H1/00
34941101,F03D7/04
34957948,F03D11/00
34957948,F03D7/02
34957948,F03D7/04
34957948,G06F1/28
34958415,B63H1/06
34958415,F03D11/02
34958415,F03D7/00
34958415,F03D7/02
34959687,F03D9/00
34959687,H02P9/10
34959688,F03D7/04
34961759,B64C11/30
34961759,F03D11/00
34961759,F03D7/02
34961759,G01P13/02
34961759,G01P5/06
34961759,G01P5/14
34961759,G01P5/165
34962866,F03D1/00
34962866,F03D7/02
34962866,F03D9/00
34962866,H02P9/04
34966536,F03D11/00
34966536,F03D7/02
34966536,F03D9/00
34966859,F03D1/04
34966859,F03D7/02
34966859,F03D9/00
34966859,H02P9/04
34967793,F03D7/02
34967793,F03D7/04
34967793,F03D9/00
34967793,F03D9/02
34967793,H02P9/00
34969837,F03D7/02
34969837,F03D7/04
34969837,F03D9/00
34969837,H02P9/04
34970368,F03D7/02
34970368,F03D7/04
34975926,F03D7/00
34975926,F03D7/02
34975926,F03D7/04
34975926,F03D9/00
34975926,H02P9/00
34981372,F03D9/00
34981372,H02P9/04
34990046,F03D1/00
34990046,F03D1/02
34990046,F03D7/02
35005063,F03D11/02
35005063,F03D7/02
35005063,F03D9/00
35005601,F03D1/04
35005601,F03D7/00
35005601,F03D7/04
35079222,F03D1/06
35079222,F03D7/02
35079222,F03D7/04
35079345,B64C27/50
35134119,F03B13/00
35134119,F03B13/10
35134119,F03D9/00
35134119,H02K5/24
35134119,H02P9/04
35134119,H02P9/10
35136612,B63H1/06
35136612,F03D7/02
35136612,F03D7/04
35276530,B63H3/00
35276530,F03D7/02
35320281,F03D7/04
35320281,F03D9/00
35320281,H02P9/04
35344643,F03D11/00
35344643,F03D7/02
35355814,F03D7/02
35355814,F03D7/04
35404798,F03D1/06
35404798,F03D7/02
35404798,F03D9/02
35432892,F03D11/04
35432892,F03D7/02
35432892,F03D7/04
35432892,F03D9/00
35448152,F03D1/00
35448152,F03D7/04
35448152,F03D9/00
35448152,H02P9/04
35452679,F03D7/00
35452679,H02J1/14
35455150,F03D1/06
35455150,F03D11/00
35455150,F03D7/02
35455150,F03D7/04
35455150,F03D9/00
35455150,G01N33/00
35458772,F03D11/00
35458772,F03D7/02
35464091,F03D7/02
35464091,H02P3/08
35464091,H02P3/10
35464091,H02P3/14
35464091,H02P7/00
35464091,H02P7/28
35482128,F03D7/00
35482128,F03D7/04
35482128,F03D9/00
35502293,F03D11/00
35502293,F03D7/02
35502293,F16H57/04
35502293,F16N7/12
35513109,F03D9/00
35513109,H02P9/04
35514092,B63H1/00
35514092,F03D7/04
35514093,F03D1/00
35514093,F03D7/04
35520062,F01D5/14
35520062,F03B3/12
35520062,F03D7/00
35539359,F03D1/00
35589532,B63H1/06
35708589,F03D9/00
35721676,F03D7/00
35721676,F03D9/00
35721676,H02P9/04
35727139,F03D7/02
35727139,F03D7/04
35727139,G05B13/02
35746213,F03D11/00
35746213,F03D7/04
35787015,F03D1/00
35787015,F03D7/02
35787015,F03D9/00
35789234,E03C1/05
35799306,F01D15/10
35799306,F03B13/00
35799306,F03D9/00
35799306,G05D17/00
35799306,H02K7/18
35799306,H02P9/04
35809593,F03B3/14
35809593,F03D11/00
35809593,F16C19/00
35809647,B64C11/30
35809647,G01B3/44
35840322,F03D9/00
35840322,G05D11/00
35840322,G05D17/00
35840322,G05D3/12
35840322,G05D5/00
35840322,G05D9/00
35840322,H02J3/38
35840322,H02P9/04
35841849,F03D9/00
35841849,G05B13/02
35853075,F03D1/04
35853075,F03D11/04
35853942,G05B19/05
35873125,B64C11/06
35873125,F03D1/06
35873125,F03D11/00
35929971,B63H1/26
35929971,B63H7/02
35929971,B64C11/16
35929971,B64C11/24
35929971,B64C27/46
35929971,F01D5/14
35929971,F01D5/18
35929971,F03B3/12
35929971,F03B7/00
35929971,F03D1/06
35929971,F03D11/02
35929971,F03D7/04
35929971,F04D29/38
35998481,F03D9/00
35998481,G05D17/00
35998481,H02J3/18
35998481,H04J3/18
36096722,F03D7/02
36118067,H02H7/06
36118067,H02J1/10
36118097,H02H7/06
36118097,H02J1/00
36121303,F03D1/06
36121303,F03D3/06
36121303,F03D7/02
36147049,A01K15/04
36147049,F03D7/04
36407933,F03D9/00
36407933,H02P7/00
36407933,H02P9/04
36615418,F03D9/00
36615418,H02P9/04
36653410,F03D7/06
36729332,F03D7/02
36758626,F03B3/12
36758626,F03D11/00
36758626,G01P3/16
36758626,G01P3/22
36758626,G01P3/44
36764595,H02J3/46
36764595,H02P9/00
36782307,F03D7/04
36782307,F03D9/00
36782307,H02P9/04
36869901,F03D1/06
36869901,F03D7/02
36869901,F03D9/00
36869906,F03D7/00
36869906,F03D9/00
36869917,B64C27/54
36869917,F04D29/36
36916479,F03D9/00
36916479,H02P9/04
36928256,F03D9/00
36928256,G06F19/00
36928256,H02P9/04
36928409,F03D7/00
36928409,F03D9/00
36928409,H02P9/04
36933610,B63H1/24
36933610,F03D11/00
36940041,F03D7/04
36940041,F03D9/00
36998545,F03D9/00
36998545,H02P9/04
37011542,F03D9/00
37011542,G05B5/00
37011542,H02P9/04
37022124,F03B15/06
37022124,F03D1/00
37022124,F03D1/04
37022124,F03D7/02
37023957,F03D1/02
37023957,F03D9/00
37027500,G01M99/00
37074201,B63H1/06
37074201,F03D7/04
37076124,H02J3/24
37076124,H02J3/38
37114539,F03D9/00
37187106,F03D3/06
37304041,F03D7/00
37304041,F03D7/04
37304041,F03D9/00
37304041,H02P9/04
37310392,F03D7/04
37311884,F01D7/00
37311884,F03D3/06
37402106,F03D9/00
37402106,H02P9/04
37441907,B63H3/06
37441907,F03D9/00
37481288,F16C19/18
37481288,F16C19/38
37481288,F16C19/40
37481288,F16C19/46
37481288,F16C19/50
37481288,F16C33/58
37481438,F03D7/02
37482521,F03D9/00
37482521,H02P9/04
37491216,F03D7/02
37491216,F03D9/00
37560923,F03D9/00
37567596,F03B7/00
37567596,F03D7/02
37571844,F03D7/02
37571844,F03D7/04
37622008,F03B11/00
37622008,F03D7/02
37622008,F16C33/00
37637522,H02P9/04
37649471,F01D7/00
37649471,F03D1/06
37649471,F03D11/00
37649471,F03D7/02
37663118,F01D5/00
37663118,F03D7/04
37665466,F01D5/14
37668336,B64C11/06
37669295,B64C11/00
37669295,F03D9/00
37669295,H02P9/04
37669465,F03D1/06
37671968,F03D7/02
37671968,F03D9/00
37671968,H02J9/06
37672449,G01P13/00
37672449,G01W1/00
37683696,F03D7/00
37683696,F03D9/00
37683696,H02P9/04
37693506,F03D9/00
37693506,H02P9/04
37711833,H02J1/00
37711833,H02J3/40
37711833,H02P9/00
37714317,E02D35/00
37714317,E04H12/18
37714317,E04H12/34
37714317,F03D11/04
37734774,F03D11/00
37734774,F03D7/04
37734774,H04M11/00
37776596,F03D1/00
37776596,F03D7/00
37776596,F03D7/02
37776596,F03D7/04
37854337,F03D7/04
37854337,F03D9/00
37854337,H02P9/04
37865899,F03D7/04
37873336,F03D9/00
37873336,H02P9/00
37873336,H02P9/04
37885832,F03D11/02
37885832,F03D7/00
37885832,F03D7/04
37885832,F03D9/00
37888154,F16D55/08
37888154,F16D65/18
37909986,B60K16/00
37909986,B60L8/00
37909986,F03B17/02
37909986,F03G6/00
38001770,B63H1/06
38003906,B63H3/00
38003906,F03D7/00
38006097,F03B13/00
38006097,F03B13/10
38006097,F03D7/00
38006097,F03D9/00
38006097,H02P9/04
38015549,F03D11/00
38015549,F03D7/00
38015549,F16N11/00
38051815,F03D7/04
38051815,F03D9/00
38051815,H02P9/04
