appln_id,appln_auth,docdb_family_id,YR_PUB,SQ_APLS,CA_GRANT,REGION,SQ_SCOPE,LN_FAMSIZE,CA_NPL
51598162,US,36869917,2007,1,1,2,1,2,0
51604979,US,3522570,2002,1,1,2,1,2,0
51606489,US,36928256,2007,1,1,2,2,2,1
51620381,US,24123051,2002,1,1,1,1,1,0
51623356,US,37567596,2006,1,1,1,1,1,0
51647488,US,35840322,2007,1,1,2,2,1,0
51648178,US,38761231,2008,1,1,2,1,1,0
51659990,US,32668617,2006,1,1,2,1,2,0
51668197,US,32708399,2006,1,1,1,2,2,0
51669071,US,37669295,2007,1,1,2,2,2,2
51684627,US,32480341,2006,1,1,2,1,2,0
51688608,US,32519827,2006,1,1,2,1,2,6
51688876,US,32694867,2006,1,1,2,1,2,1
51692882,US,32865083,2007,1,1,2,2,1,3
51722943,US,32910021,2006,1,1,2,1,2,6
51726217,US,9953844,2006,1,1,2,2,2,4
51766414,US,39156248,2008,0,0,2,1,1,0
51778384,US,33300065,2006,1,0,1,1,1,0
51788342,US,35320281,2007,1,0,2,1,1,0
51794814,US,33426916,2007,1,1,2,1,2,0
51800418,US,33039175,2006,1,1,2,2,2,1
51834545,US,33550481,2006,1,1,2,2,2,0
51883770,US,39262797,2008,0,1,2,2,1,0
51886505,US,34177692,2006,1,1,2,1,2,0
51888594,US,34129838,2008,1,1,2,2,3,5
51889014,US,34315649,2007,1,1,2,1,2,0
51903487,US,33186211,2007,0,0,2,1,2,0
51905489,US,34276543,2007,1,1,2,2,1,7
51907736,US,34259111,2007,1,1,2,1,2,1
51924304,US,34958415,2007,1,1,2,1,2,0
51924406,US,34178077,2007,1,1,2,2,2,0
51946576,US,35276530,2007,1,1,2,1,2,0
51949787,US,35708589,2008,1,0,2,1,2,0
51968367,US,34429593,2007,1,1,1,1,2,0
51978176,US,34635435,2007,0,0,2,1,2,0
51995866,US,34672716,2007,0,0,2,2,2,0
52022117,US,34778141,2007,1,1,2,1,2,0
52036968,US,34966859,2007,0,1,2,1,2,4
52072843,US,34975926,2008,1,0,2,1,2,0
52076040,US,34962866,2007,1,1,2,1,2,0
52097587,US,34676769,2007,1,1,2,2,2,0
52100903,US,34967793,2008,1,1,2,1,3,1
52117704,US,34859221,2007,1,0,2,1,2,0
52126355,US,8089123,2003,1,1,2,2,3,0
52166929,US,37663118,2007,1,1,2,1,3,4
52198188,US,39262998,2008,1,1,2,1,2,2
52198960,US,39263105,2008,1,1,2,1,1,4
52268894,US,38996209,2008,1,1,2,2,1,0
52273429,US,39462164,2008,1,1,2,2,2,1
52274006,US,39593610,2008,1,1,2,2,1,0
52330706,US,39668209,2008,1,1,1,1,1,0
52444147,US,34063455,2005,1,1,2,2,2,7
52445336,US,39543051,2008,1,1,2,1,1,1
52527610,US,38517026,2007,1,1,1,1,1,0
52550977,US,35005063,2005,1,1,1,1,1,0
52589557,US,35539359,2008,0,0,2,1,2,0
52609464,US,35482128,2008,1,1,2,1,2,3
52620079,US,35841849,2007,1,1,2,1,2,1
52635758,US,7687149,2007,0,1,2,1,3,0
52639995,US,42244507,2007,1,1,2,1,1,0
52668308,US,34194910,2007,1,1,2,2,2,1
52727687,US,38162135,2007,1,1,2,2,2,0
52757209,US,38787027,2008,1,1,2,1,2,3
52855062,US,38069075,2007,1,1,2,1,2,0
52867517,US,8096781,2003,1,1,2,1,2,5
52949677,US,32829013,2004,1,1,2,2,1,0
53080729,US,38460313,2007,0,0,1,1,1,0
53088159,US,24942667,2002,1,0,2,1,1,0
53096830,US,8498094,2004,1,1,2,1,2,0
53099028,US,7692180,2004,2,0,2,1,2,0
53108915,US,32652579,2004,1,0,1,2,1,0
53135430,US,38001770,2007,1,1,2,1,2,2
53174445,US,46328717,2008,0,0,1,1,1,0
53214902,US,38147611,2008,1,0,2,1,1,0
53217098,US,46328751,2008,0,0,1,1,1,0
53275345,US,25050770,2003,1,0,1,1,1,27
